column_name,code,units,description,format
WhlsaleE,Whlsale,Persons,INDUSTRY|Civilian employed population 16 years and over|Wholesale trade,
RetailE,Retail,Persons,INDUSTRY|Civilian employed population 16 years and over|Retail trade,
TrWHUtE,TrWHUt,Persons,"INDUSTRY|Civilian employed population 16 years and over|Transportation and warehousing, and utilities",
InfoE,Info,Persons,INDUSTRY|Civilian employed population 16 years and over|Information,
FIREE,FIRE,Persons,"INDUSTRY|Civilian employed population 16 years and over|Finance and insurance, and real estate and rental and leasing",
PrfSMgAWME,PrfSMgAWM,Persons,"INDUSTRY|Civilian employed population 16 years and over|Professional, scientific, and management, and administrative and waste management services",
EdHlthCSAE,EdHlthCSA,Persons,"INDUSTRY|Civilian employed population 16 years and over|Educational services, and health care and social assistance",
ArtEnRAFSE,ArtEnRAFS,Persons,"INDUSTRY|Civilian employed population 16 years and over|Arts, entertainment, and recreation, and accommodation, and food services",
OthnotPAE,OthnotPA,Persons,"INDUSTRY|Civilian employed population 16 years and over|Other services, except public administration",
PubAdminE,PubAdmin,Persons,INDUSTRY|Civilian employed population 16 years and over|Public administration,
CvEm16pl4E,CvEm16pl4,Persons,CLASS OF WORKER|Civilian employed population 16 years and over,
PrvWSWrkrE,PrvWSWrkr,Persons,CLASS OF WORKER|Civilian employed population 16 years and over|Private wage and salary workers,
GvtWrkrE,GvtWrkr,Persons,CLASS OF WORKER|Civilian employed population 16 years and over|Government workers,
SlfEmNIncE,SlfEmNInc,Persons,CLASS OF WORKER|Civilian employed population 16 years and over|Self-employed workers in own not incorporated business,
UpdFmWrkrE,UpdFmWrkr,Persons,CLASS OF WORKER|Civilian employed population 16 years and over|Unpaid family workers,
HH2E,HH2,Households,INCOME AND BENEFITS|Total households,
HHIU10E,HHIU10,Households,"INCOME AND BENEFITS|Total households|Household income of less than $10,000",
HHI10t14E,HHI10t14,Households,"INCOME AND BENEFITS|Total households|$10,000 to $14,999",
HHI15t24E,HHI15t24,Households,"INCOME AND BENEFITS|Total households|$15,000 to $24,999",
HHI25t34E,HHI25t34,Households,"INCOME AND BENEFITS|Total households|$25,000 to $34,999",
HHI35t49E,HHI35t49,Households,"INCOME AND BENEFITS|Total households|$35,000 to $49,999",
HHI50t74E,HHI50t74,Households,"INCOME AND BENEFITS|Total households|$50,000 to $74,999",
HHI75t99E,HHI75t99,Households,"INCOME AND BENEFITS|Total households|$75,000 to $99,999",
HI100t149E,HI100t149,Households,"INCOME AND BENEFITS|Total households|$100,000 to $149,999",
HI150t199E,HI150t199,Households,"INCOME AND BENEFITS|Total households|$150,000 to $199,999",
HHI200plE,HHI200pl,Households,"INCOME AND BENEFITS|Total households|$200,000 or more",
MdHHIncE,MdHHInc,Households,INCOME AND BENEFITS|Total households|Median household income (dollars),
MnHHIncE,MnHHInc,Households,INCOME AND BENEFITS|Total households|Mean household income (dollars),
Inc_SoSecE,Inc_SoSec,Households,INCOME AND BENEFITS|Total households|Households with Social Security,
Inc_RtrmtE,Inc_Rtrmt,Households,INCOME AND BENEFITS|Total households|Households with retirement income,
Inc_SpSecE,Inc_SpSec,Households,INCOME AND BENEFITS|Total households|Households with Supplemental Security Income,
Inc_CPbAE,Inc_CPbA,Households,INCOME AND BENEFITS|Total households|Households with cash public assistance income,
Inc_SNAPE,Inc_SNAP,Households,INCOME AND BENEFITS|Total households|Households with Food Stamp/SNAP benefits in the past 12 months,
Fam2E,Fam2,Households,INCOME AND BENEFITS|Family Households,
FamIU10E,FamIU10,Households,"INCOME AND BENEFITS|Family Households|Family income of less than $10,000",
FamI10t14E,FamI10t14,Households,"INCOME AND BENEFITS|Family Households|$10,000 to $14,999",
FamI15t24E,FamI15t24,Households,"INCOME AND BENEFITS|Family Households|$15,000 to $24,999",
FamI25t34E,FamI25t34,Households,"INCOME AND BENEFITS|Family Households|$25,000 to $34,999",
FamI35t49E,FamI35t49,Households,"INCOME AND BENEFITS|Family Households|$35,000 to $49,999",
FamI50t74E,FamI50t74,Households,"INCOME AND BENEFITS|Family Households|$50,000 to $74,999",
FamI75t99E,FamI75t99,Households,"INCOME AND BENEFITS|Family Households|$75,000 to $99,999",
FI100t149E,FI100t149,Households,"INCOME AND BENEFITS|Family Households|$100,000 to $149,999",
FI150t199E,FI150t199,Households,"INCOME AND BENEFITS|Family Households|$150,000 to $199,999",
FamI200plE,FamI200pl,Households,"INCOME AND BENEFITS|Family Households|$200,000 or more",
MdFamIncE,MdFamInc,Households,INCOME AND BENEFITS|Family Households|Median family income (dollars),
Nfam2E,Nfam2,Households,INCOME AND BENEFITS|Nonfamily households,
MdNFIncE,MdNFInc,Households,INCOME AND BENEFITS|Nonfamily households|Median nonfamily income (dollars),
PerCapIncE,PerCapInc,Households,INCOME AND BENEFITS|Nonfamily households|Per capita income (dollars),
MdEWrkE,MdEWrk,Persons,EARNINGS|Nonfamily households|Median earnings for workers (dollars),
MdEMFTWrkE,MdEMFTWrk,Persons,"EARNINGS|Nonfamily households|Median earnings for male full-time, year-round workers (dollars)",
MdEFFTWrkE,MdEFFTWrk,Persons,"EARNINGS|Nonfamily households|Median earnings for female full-time, year-round workers (dollars)",
CvNIPop2E,CvNIPop2,Persons,HEALTH INSURANCE COVERAGE|Civilian noninstitutionalized population,
HInsE,HIns,Persons,HEALTH INSURANCE COVERAGE|Civilian noninstitutionalized population|With health insurance coverage,
PvHInsE,PvHIns,Persons,HEALTH INSURANCE COVERAGE|Civilian noninstitutionalized population|With health insurance coverage|With private health insurance,
PbHInsE,PbHIns,Persons,HEALTH INSURANCE COVERAGE|Civilian noninstitutionalized population|With health insurance coverage|With public coverage,
NHInsE,NHIns,Persons,HEALTH INSURANCE COVERAGE|Civilian noninstitutionalized population|No health insurance coverage,
CvNIU18_2E,CvNIU18_2,Persons,HEALTH INSURANCE COVERAGE|Civilian noninstitutionalized population under 18 years,
U18NHInsE,U18NHIns,Persons,HEALTH INSURANCE COVERAGE|Civilian noninstitutionalized population under 18 years|No health insurance coverage,
CNI1864_2E,CNI1864_2,Persons,HEALTH INSURANCE COVERAGE|Civilian noninstitutionalized population under 18 years|Civilian noninstitutionalized population 18 to 64 years,
CvLF18t64E,CvLF18t64,Persons,HEALTH INSURANCE COVERAGE|Civilian noninstitutionalized population under 18 years|Civilian noninstitutionalized population 18 to 64 years|In labor force,
CvLFEmE,CvLFEm,Persons,HEALTH INSURANCE COVERAGE|Civilian noninstitutionalized population under 18 years|Civilian noninstitutionalized population 18 to 64 years|In labor force|Employed,
EmHInsE,EmHIns,Persons,HEALTH INSURANCE COVERAGE|Civilian noninstitutionalized population under 18 years|Civilian noninstitutionalized population 18 to 64 years|In labor force|Employed|With health insurance coverage,
EmPvHInsE,EmPvHIns,Persons,HEALTH INSURANCE COVERAGE|Civilian noninstitutionalized population under 18 years|Civilian noninstitutionalized population 18 to 64 years|In labor force|Employed|With health insurance coverage|With private health insurance,
EmPbHInsE,EmPbHIns,Persons,HEALTH INSURANCE COVERAGE|Civilian noninstitutionalized population under 18 years|Civilian noninstitutionalized population 18 to 64 years|In labor force|Employed|With health insurance coverage|With public coverage,
EmNHInsE,EmNHIns,Persons,HEALTH INSURANCE COVERAGE|Civilian noninstitutionalized population under 18 years|Civilian noninstitutionalized population 18 to 64 years|In labor force|Employed|No health insurance coverage,
UEmE,UEm,Persons,HEALTH INSURANCE COVERAGE|Civilian noninstitutionalized population under 18 years|Civilian noninstitutionalized population 18 to 64 years|In labor force|Unemployed,
UEmHInsE,UEmHIns,Persons,HEALTH INSURANCE COVERAGE|Civilian noninstitutionalized population under 18 years|Civilian noninstitutionalized population 18 to 64 years|In labor force|Unemployed|With health insurance coverage,
UEmPvHInsE,UEmPvHIns,Persons,HEALTH INSURANCE COVERAGE|Civilian noninstitutionalized population under 18 years|Civilian noninstitutionalized population 18 to 64 years|In labor force|Unemployed|With health insurance coverage|With private health insurance,
UEmPbHInsE,UEmPbHIns,Persons,HEALTH INSURANCE COVERAGE|Civilian noninstitutionalized population under 18 years|Civilian noninstitutionalized population 18 to 64 years|In labor force|Unemployed|With health insurance coverage|With public coverage,
UEmNHInsE,UEmNHIns,Persons,HEALTH INSURANCE COVERAGE|Civilian noninstitutionalized population under 18 years|Civilian noninstitutionalized population 18 to 64 years|In labor force|Unemployed|No health insurance coverage,
NLF2E,NLF2,Persons,HEALTH INSURANCE COVERAGE|Not in labor force,
NLFHInsE,NLFHIns,Persons,HEALTH INSURANCE COVERAGE|Not in labor force|With health insurance coverage,
NLFPvHInsE,NLFPvHIns,Persons,HEALTH INSURANCE COVERAGE|Not in labor force|With health insurance coverage|With private health insurance,
NLFPbHInsE,NLFPbHIns,Persons,HEALTH INSURANCE COVERAGE|Not in labor force|With health insurance coverage|With public coverage,
NLFNHInsE,NLFNHIns,Persons,HEALTH INSURANCE COVERAGE|Not in labor force|No health insurance coverage,
FamPvUE,FamPvU,Persons,INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL|All families,
FamBwPvE,FamBwPv,Persons,INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL|All families|Below poverty,
PopPvU1E,PopPvU1,Persons,INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL|Population for whom poverty status is determined,
PBwPvE,PBwPv,Persons,INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL|Population for whom poverty status is determined|Below poverty,
PU18PvUE,PU18PvU,Persons,INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL|Population for whom poverty status is determined|Below poverty|Under 18 years,
PU18BwPvE,PU18BwPv,Persons,INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL|Population for whom poverty status is determined|Below poverty|Under 18 years|Below poverty,
P65plPvUE,P65plPvU,Persons,INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL|Population for whom poverty status is determined|Below poverty|65 years and over,
P65plBwPvE,P65plBwPv,Persons,INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL|Population for whom poverty status is determined|Below poverty|65 years and over|Below poverty,
PopPvU2E,PopPvU2,Persons,RATIO OF INCOME TO POVERTY LEVEL|Population for whom poverty status is determined,
PvU50E,PvU50,Persons,RATIO OF INCOME TO POVERTY LEVEL|Population for whom poverty status is determined|Under .50,
Pv50t74E,Pv50t74,Persons,RATIO OF INCOME TO POVERTY LEVEL|Population for whom poverty status is determined|.50 to .74,
Pv75t99E,Pv75t99,Persons,RATIO OF INCOME TO POVERTY LEVEL|Population for whom poverty status is determined|.75 to .99,
Pv100t124E,Pv100t124,Persons,RATIO OF INCOME TO POVERTY LEVEL|Population for whom poverty status is determined|1.00 to 1.24,
Pv125t149E,Pv125t149,Persons,RATIO OF INCOME TO POVERTY LEVEL|Population for whom poverty status is determined|1.25 to 1.49,
Pv150t174E,Pv150t174,Persons,RATIO OF INCOME TO POVERTY LEVEL|Population for whom poverty status is determined|1.50 to 1.74,
Pv175t184E,Pv175t184,Persons,RATIO OF INCOME TO POVERTY LEVEL|Population for whom poverty status is determined|1.75 to 1.84,
Pv185t199E,Pv185t199,Persons,RATIO OF INCOME TO POVERTY LEVEL|Population for whom poverty status is determined|1.85 to 1.99,
Pv200t299E,Pv200t299,Persons,RATIO OF INCOME TO POVERTY LEVEL|Population for whom poverty status is determined|2.00 to 2.99,
Pv300t399E,Pv300t399,Persons,RATIO OF INCOME TO POVERTY LEVEL|Population for whom poverty status is determined|3.00 to 3.99,
Pv400t499E,Pv400t499,Persons,RATIO OF INCOME TO POVERTY LEVEL|Population for whom poverty status is determined|4.00 to 4.99,
Pv500plE,Pv500pl,Persons,RATIO OF INCOME TO POVERTY LEVEL|Population for whom poverty status is determined|5.00 and over,
