column_name,code,units,description,format
BosniaHE,BosniaH,Persons,PLACE OF BIRTH|Foreign-born|Europe|Eastern Europe|Bosnia and Herzegovina ,
SerbiaE,Serbia,Persons,PLACE OF BIRTH|Foreign-born|Europe|Eastern Europe|Serbia,
OEEurE,OEEur,Persons,PLACE OF BIRTH|Foreign-born|Europe|Eastern Europe|Other Eastern Europe ,
EurNECE,EurNEC,Persons,"PLACE OF BIRTH|Foreign-born|Europe|Europe, n.e.c. ",
AsiaE,Asia,Persons,PLACE OF BIRTH|Foreign-born|Asia,
EAsiaE,EAsia,Persons,PLACE OF BIRTH|Foreign-born|Asia|Eastern Asia,
ChinaE,China,Persons,PLACE OF BIRTH|Foreign-born|Asia|Eastern Asia|China,
ChNoHKTwnE,ChNoHKTwn,Persons,"PLACE OF BIRTH|Foreign-born|Asia|Eastern Asia|China|China, excluding Hong Kong and Taiwan ",
HongKongE,HongKong,Persons,PLACE OF BIRTH|Foreign-born|Asia|Eastern Asia|China|Hong Kong ,
TaiwanE,Taiwan,Persons,PLACE OF BIRTH|Foreign-born|Asia|Eastern Asia|China|Taiwan ,
JapanE,Japan,Persons,PLACE OF BIRTH|Foreign-born|Asia|Eastern Asia|Japan ,
KoreaE,Korea,Persons,PLACE OF BIRTH|Foreign-born|Asia|Eastern Asia|Korea ,
OEAsiaE,OEAsia,Persons,PLACE OF BIRTH|Foreign-born|Asia|Eastern Asia|Other Eastern Asia ,
SCAsiaE,SCAsia,Persons,PLACE OF BIRTH|Foreign-born|Asia|South Central Asia,
AfghanE,Afghan,Persons,PLACE OF BIRTH|Foreign-born|Asia|South Central Asia|Afghanistan ,
BngldshE,Bngldsh,Persons,PLACE OF BIRTH|Foreign-born|Asia|South Central Asia|Bangladesh ,
IndiaE,India,Persons,PLACE OF BIRTH|Foreign-born|Asia|South Central Asia|India ,
IranE,Iran,Persons,PLACE OF BIRTH|Foreign-born|Asia|South Central Asia|Iran ,
KzkhstanE,Kzkhstan,Persons,PLACE OF BIRTH|Foreign-born|Asia|South Central Asia|Kazakhstan,
NepalE,Nepal,Persons,PLACE OF BIRTH|Foreign-born|Asia|South Central Asia|Nepal,
PakistanE,Pakistan,Persons,PLACE OF BIRTH|Foreign-born|Asia|South Central Asia|Pakistan ,
SriLankaE,SriLanka,Persons,PLACE OF BIRTH|Foreign-born|Asia|South Central Asia|Sri Lanka,
UzbkstanE,Uzbkstan,Persons,PLACE OF BIRTH|Foreign-born|Asia|South Central Asia|Uzbekistan,
OSCAsiaE,OSCAsia,Persons,PLACE OF BIRTH|Foreign-born|Asia|South Central Asia|Other South Central Asia,
SEAsiaE,SEAsia,Persons,PLACE OF BIRTH|Foreign-born|Asia|South Eastern Asia,
CambodiaE,Cambodia,Persons,PLACE OF BIRTH|Foreign-born|Asia|South Eastern Asia|Cambodia ,
IndnsiaE,Indnsia,Persons,PLACE OF BIRTH|Foreign-born|Asia|South Eastern Asia|Indonesia ,
LaosE,Laos,Persons,PLACE OF BIRTH|Foreign-born|Asia|South Eastern Asia|Laos ,
MalaysiaE,Malaysia,Persons,PLACE OF BIRTH|Foreign-born|Asia|South Eastern Asia|Malaysia,
BurmaE,Burma,Persons,PLACE OF BIRTH|Foreign-born|Asia|South Eastern Asia|Burma,
PhilipnsE,Philipns,Persons,PLACE OF BIRTH|Foreign-born|Asia|South Eastern Asia|Philippines ,
SngaporeE,Sngapore,Persons,PLACE OF BIRTH|Foreign-born|Asia|South Eastern Asia|Singapore,
ThailandE,Thailand,Persons,PLACE OF BIRTH|Foreign-born|Asia|South Eastern Asia|Thailand ,
VietnamE,Vietnam,Persons,PLACE OF BIRTH|Foreign-born|Asia|South Eastern Asia|Vietnam ,
OSEAsiaE,OSEAsia,Persons,PLACE OF BIRTH|Foreign-born|Asia|South Eastern Asia|Other South Eastern Asia ,
WAsiaE,WAsia,Persons,PLACE OF BIRTH|Foreign-born|Asia|Western Asia,
IraqE,Iraq,Persons,PLACE OF BIRTH|Foreign-born|Asia|Western Asia|Iraq ,
IsraelE,Israel,Persons,PLACE OF BIRTH|Foreign-born|Asia|Western Asia|Israel ,
JordanE,Jordan,Persons,PLACE OF BIRTH|Foreign-born|Asia|Western Asia|Jordan,
KuwaitE,Kuwait,Persons,PLACE OF BIRTH|Foreign-born|Asia|Western Asia|Kuwait,
LebanonE,Lebanon,Persons,PLACE OF BIRTH|Foreign-born|Asia|Western Asia|Lebanon ,
SaudiArE,SaudiAr,Persons,PLACE OF BIRTH|Foreign-born|Asia|Western Asia|Saudi Arabia,
SyriaE,Syria,Persons,PLACE OF BIRTH|Foreign-born|Asia|Western Asia|Syria ,
YemenE,Yemen,Persons,PLACE OF BIRTH|Foreign-born|Asia|Western Asia|Yemen,
TurkeyE,Turkey,Persons,PLACE OF BIRTH|Foreign-born|Asia|Western Asia|Turkey ,
ArmeniaE,Armenia,Persons,PLACE OF BIRTH|Foreign-born|Asia|Western Asia|Armenia ,
OWAsiaE,OWAsia,Persons,PLACE OF BIRTH|Foreign-born|Asia|Western Asia|Other Western Asia ,
AsiaNECE,AsiaNEC,Persons,"PLACE OF BIRTH|Foreign-born|Asia|Asia,n.e.c. ",
AfrE,Afr,Persons,PLACE OF BIRTH|Foreign-born|Africa,
EAfrE,EAfr,Persons,PLACE OF BIRTH|Foreign-born|Africa|Eastern Africa,
EritreaE,Eritrea,Persons,PLACE OF BIRTH|Foreign-born|Africa|Eastern Africa|Eritrea,
EthiopiaE,Ethiopia,Persons,PLACE OF BIRTH|Foreign-born|Africa|Eastern Africa|Ethiopia ,
KenyaE,Kenya,Persons,PLACE OF BIRTH|Foreign-born|Africa|Eastern Africa|Kenya ,
OEAfrE,OEAfr,Persons,PLACE OF BIRTH|Foreign-born|Africa|Eastern Africa|Other Eastern Africa ,
MAfrE,MAfr,Persons,PLACE OF BIRTH|Foreign-born|Africa|Middle Africa,
CameroonE,Cameroon,Persons,PLACE OF BIRTH|Foreign-born|Africa|Middle Africa|Cameroon           ,
OMAfrE,OMAfr,Persons,PLACE OF BIRTH|Foreign-born|Africa|Middle Africa|Other Middle Africa,
NAfrE,NAfr,Persons,PLACE OF BIRTH|Foreign-born|Africa|Northern Africa,
EgyptE,Egypt,Persons,PLACE OF BIRTH|Foreign-born|Africa|Northern Africa|Egypt ,
MoroccoE,Morocco,Persons,PLACE OF BIRTH|Foreign-born|Africa|Northern Africa|Morocco,
SudanE,Sudan,Persons,PLACE OF BIRTH|Foreign-born|Africa|Northern Africa|Sudan,
ONAfrE,ONAfr,Persons,PLACE OF BIRTH|Foreign-born|Africa|Northern Africa|Other Northern Africa ,
SthrnAfrE,SthrnAfr,Persons,PLACE OF BIRTH|Foreign-born|Africa|Southern Africa,
SthAfrcaE,SthAfrca,Persons,PLACE OF BIRTH|Foreign-born|Africa|Southern Africa|South Africa ,
OSthrnAfrE,OSthrnAfr,Persons,PLACE OF BIRTH|Foreign-born|Africa|Southern Africa|Other Southern Africa ,
WAfrE,WAfr,Persons,PLACE OF BIRTH|Foreign-born|Africa|Western Africa,
CaboVerdE,CaboVerd,Persons,PLACE OF BIRTH|Foreign-born|Africa|Western Africa|Cabo Verde,
GhanaE,Ghana,Persons,PLACE OF BIRTH|Foreign-born|Africa|Western Africa|Ghana ,
LiberiaE,Liberia,Persons,PLACE OF BIRTH|Foreign-born|Africa|Western Africa|Liberia ,
NigeriaE,Nigeria,Persons,PLACE OF BIRTH|Foreign-born|Africa|Western Africa|Nigeria ,
SierraLE,SierraL,Persons,PLACE OF BIRTH|Foreign-born|Africa|Western Africa|Sierra Leone,
OWAfrE,OWAfr,Persons,PLACE OF BIRTH|Foreign-born|Africa|Western Africa|Other Western Africa ,
AfrNECE,AfrNEC,Persons,"PLACE OF BIRTH|Foreign-born|Africa|Africa, n.e.c. ",
OceaniaE,Oceania,Persons,PLACE OF BIRTH|Foreign-born|Oceania,
AusNZSbRE,AusNZSbR,Persons,PLACE OF BIRTH|Foreign-born|Oceania|Australia and New Zealand Subregion:,
AustrliaE,Austrlia,Persons,PLACE OF BIRTH|Foreign-born|Oceania|Australia and New Zealand Subregion:|Australia ,
OAusNZSbRE,OAusNZSbR,Persons,PLACE OF BIRTH|Foreign-born|Oceania|Australia and New Zealand Subregion:|Other Australian and New Zealand Subregion ,
FijiE,Fiji,Persons,PLACE OF BIRTH|Foreign-born|Oceania|Fiji,
OcniaNECE,OcniaNEC,Persons,"PLACE OF BIRTH|Foreign-born|Oceania|Oceania, n.e.c. ",
AmricasE,Amricas,Persons,PLACE OF BIRTH|Foreign-born|Americas,
LAmE,LAm,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America,
CaribE,Carib,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|Caribbean,
BahamasE,Bahamas,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|Caribbean|Bahamas,
BarbadosE,Barbados,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|Caribbean|Barbados ,
CubaE,Cuba,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|Caribbean|Cuba ,
DominicaE,Dominica,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|Caribbean|Dominica ,
DomRepE,DomRep,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|Caribbean|Dominican Republic ,
GrenadaE,Grenada,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|Caribbean|Grenada,
HaitiE,Haiti,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|Caribbean|Haiti ,
JamaicaE,Jamaica,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|Caribbean|Jamaica ,
StVGrenE,StVGren,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|Caribbean|St. Vincent and the Grenadines,
TrAndTobE,TrAndTob,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|Caribbean|Trinidad and Tobago ,
WIndiesE,WIndies,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|Caribbean|West Indies,
OCaribE,OCarib,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|Caribbean|Other Caribbean ,
CAmE,CAm,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|Central America,
MexicoE,Mexico,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|Central America|Mexico ,
BelizeE,Belize,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|Central America|Belize,
CstaRicaE,CstaRica,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|Central America|Costa Rica ,
ElSlvdrE,ElSlvdr,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|Central America|El Salvador ,
GuatmalaE,Guatmala,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|Central America|Guatemala ,
HondurasE,Honduras,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|Central America|Honduras ,
NicarguaE,Nicargua,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|Central America|Nicaragua ,
PanamaE,Panama,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|Central America|Panama ,
OCAmE,OCAm,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|Central America|Other Central America ,
SAmE,SAm,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|South America,
ArgntinaE,Argntina,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|South America|Argentina ,
BoliviaE,Bolivia,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|South America|Bolivia ,
BrazilE,Brazil,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|South America|Brazil ,
ChileE,Chile,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|South America|Chile ,
ColombiaE,Colombia,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|South America|Colombia ,
EcuadorE,Ecuador,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|South America|Ecuador ,
GuyanaE,Guyana,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|South America|Guyana ,
PeruE,Peru,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|South America|Peru ,
UruguayE,Uruguay,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|South America|Uruguay,
VnzuelaE,Vnzuela,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|South America|Venezuela ,
OSAmE,OSAm,Persons,PLACE OF BIRTH|Foreign-born|Americas|Latin America|South America|Other South America,
