NMSMP3034E,NMSMP3034,,Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed); Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed): [30.0 to 34.9 percent],
NMSMP35plE,NMSMP35pl,,Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed); Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed): [35.0 percent or more],
NMSMPNtCE,NMSMPNtC,,Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed); Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed): [Not computed],
OcHUPRnt1E,OcHUPRnt1,,GROSS RENT; Occupied units paying rent: [Occupied units paying rent],
GRU500E,GRU500,,GROSS RENT; Occupied units paying rent: [Less than $500],
GR500t999E,GR500t999,,GROSS RENT; Occupied units paying rent: [$500 to $999],
GR1kt14kE,GR1kt14k,,"GROSS RENT; Occupied units paying rent: [$1,000 to $1499]",
GR15kt19kE,GR15kt19k,,"GROSS RENT; Occupied units paying rent: [$1,500 to $1,999]",
GR20kt24kE,GR20kt24k,,"GROSS RENT; Occupied units paying rent: [$2,000 to $2,499]",
GR25kt29kE,GR25kt29k,,"GROSS RENT; Occupied units paying rent: [$2,500 to $2,999]",
GR3kplE,GR3kpl,,"GROSS RENT; Occupied units paying rent: [$3,000 or more]",
MdGRE,MdGR,,GROSS RENT; Occupied units paying rent: [Median (dollars)],
GRnoRntPdE,GRnoRntPd,,; : [No rent paid],
OcHUPRnt2E,OcHUPRnt2,,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI); Occupied units paying rent (excluding units where GRAPI cannot be computed): [Occupied units paying rent (excluding units where GRAPI cannot be computed)],
GRPIU15E,GRPIU15,,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI); Occupied units paying rent (excluding units where GRAPI cannot be computed): [Less than 15.0 percent],
GRPI15t19E,GRPI15t19,,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI); Occupied units paying rent (excluding units where GRAPI cannot be computed): [15.0 to 19.9 percent],
GRPI20t24E,GRPI20t24,,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI); Occupied units paying rent (excluding units where GRAPI cannot be computed): [20.0 to 24.9 percent],
GRPI25t29E,GRPI25t29,,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI); Occupied units paying rent (excluding units where GRAPI cannot be computed): [25.0 to 29.9 percent],
GRPI30plE,GRPI30pl,,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI); Occupied units paying rent (excluding units where GRAPI cannot be computed): [30.0 percent or more],
GRPI50plE,GRPI50pl,,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI); Occupied units paying rent (excluding units where GRAPI cannot be computed): [50.0 percent or more],
GRPINtCE,GRPINtC,,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI); Occupied units paying rent (excluding units where GRAPI cannot be computed): [Not computed],
